               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  52,              2.3917,              2.7529,              1.2841,             0.41423,             0.24781,             0.25277,             0.12837,                   0,                   0,                   0,            0.011526,            0.011526,            0.011526
                  53,              2.5375,              2.7571,               1.294,             0.30246,             0.33389,             0.28616,             0.15043,                   0,                   0,                   0,            0.011507,            0.011507,            0.011507
                  54,              2.4074,               2.643,              1.2991,             0.39909,             0.30128,             0.29987,             0.14773,                   0,                   0,                   0,            0.011488,            0.011488,            0.011488
                  55,                2.44,              2.6791,              1.3001,             0.31613,             0.28947,              0.2832,              0.1405,                   0,                   0,                   0,            0.011469,            0.011469,            0.011469
                  56,              2.3817,              2.6001,               1.296,             0.35828,             0.33697,             0.30717,              0.1407,                   0,                   0,                   0,            0.011449,            0.011449,            0.011449
                  57,              2.4729,              2.5647,              1.2671,             0.36645,             0.33449,             0.32217,             0.17318,                   0,                   0,                   0,             0.01143,             0.01143,             0.01143
                  58,              2.4595,              2.6508,              1.2843,             0.37552,             0.34143,             0.33676,              0.1811,                   0,                   0,                   0,            0.011409,            0.011409,            0.011409
                  59,              2.3307,              2.5642,              1.2949,              0.4597,             0.38883,             0.37118,             0.17757,                   0,                   0,                   0,            0.011389,            0.011389,            0.011389
                  60,              2.4122,              2.5824,               1.305,              0.4434,             0.32493,             0.35059,             0.18171,                   0,                   0,                   0,            0.011368,            0.011368,            0.011368
                  61,              2.3737,              2.4276,              1.2835,              0.4842,             0.32279,             0.36463,             0.17613,                   0,                   0,                   0,            0.011347,            0.011347,            0.011347
                  62,              2.3474,              2.4364,              1.3198,             0.51264,             0.36328,             0.39526,               0.202,                   0,                   0,                   0,            0.011325,            0.011325,            0.011325
                  63,              2.3786,              2.4307,               1.294,             0.53069,             0.34568,             0.40641,             0.19765,                   0,                   0,                   0,            0.011303,            0.011303,            0.011303
                  64,              2.3263,              2.3867,               1.288,             0.46432,             0.38664,             0.42247,             0.21119,                   0,                   0,                   0,            0.011281,            0.011281,            0.011281
                  65,               2.311,              2.3994,              1.3018,             0.50455,             0.34349,             0.44714,             0.22916,                   0,                   0,                   0,            0.011259,            0.011259,            0.011259
                  66,              2.2895,              2.3051,                1.28,             0.44452,             0.40792,             0.41382,             0.20023,                   0,                   0,                   0,            0.011236,            0.011236,            0.011236
                  67,              2.3327,              2.3437,                1.27,             0.62038,             0.38115,             0.45322,             0.21654,                   0,                   0,                   0,            0.011213,            0.011213,            0.011213
                  68,              2.3424,               2.326,              1.2611,             0.49624,             0.41097,             0.45583,             0.24186,                   0,                   0,                   0,            0.011189,            0.011189,            0.011189
                  69,              2.3116,              2.2989,              1.2766,             0.62803,             0.33488,             0.45348,             0.20702,                   0,                   0,                   0,            0.011165,            0.011165,            0.011165
                  70,              2.3527,              2.2918,               1.264,             0.46491,             0.44219,             0.46973,             0.23118,                   0,                   0,                   0,            0.011141,            0.011141,            0.011141
                  71,              2.2938,              2.2185,              1.2833,             0.52736,              0.4463,             0.50821,             0.27693,                   0,                   0,                   0,            0.011117,            0.011117,            0.011117
                  72,                2.28,              2.2108,              1.2635,             0.50448,              0.4366,             0.47316,             0.25262,                   0,                   0,                   0,            0.011092,            0.011092,            0.011092
                  73,              2.3031,              2.2196,              1.2712,             0.51995,             0.43545,             0.46368,             0.25118,                   0,                   0,                   0,            0.011067,            0.011067,            0.011067
                  74,              2.3472,               2.332,              1.3039,             0.53409,             0.43649,             0.47276,             0.23305,                   0,                   0,                   0,            0.011042,            0.011042,            0.011042
                  75,              2.3421,              2.2749,              1.2878,             0.51227,             0.50214,             0.50192,             0.23534,                   0,                   0,                   0,            0.011016,            0.011016,            0.011016
                  76,              2.2634,              2.1699,              1.2741,             0.59162,             0.44102,             0.51281,             0.24899,                   0,                   0,                   0,             0.01099,             0.01099,             0.01099
                  77,              2.3008,              2.1021,              1.2705,             0.51886,             0.47676,             0.50754,             0.26033,                   0,                   0,                   0,            0.010964,            0.010964,            0.010964
                  78,              2.2175,              2.0473,              1.2692,             0.65425,             0.40506,             0.53011,              0.2929,                   0,                   0,                   0,            0.010937,            0.010937,            0.010937
                  79,              2.1785,              2.0249,              1.2644,               0.638,             0.44954,             0.52274,             0.29082,                   0,                   0,                   0,             0.01091,             0.01091,             0.01091
                  80,              2.1685,               2.029,              1.2563,             0.58557,             0.50196,             0.55553,             0.29702,                   0,                   0,                   0,            0.010883,            0.010883,            0.010883
                  81,              2.2366,              2.0301,              1.2409,             0.61734,             0.49911,             0.54758,             0.29283,                   0,                   0,                   0,            0.010855,            0.010855,            0.010855
                  82,              2.1904,              1.9906,              1.2398,             0.62684,             0.45845,              0.5228,              0.2646,                   0,                   0,                   0,            0.010827,            0.010827,            0.010827
                  83,              2.2711,              2.0882,              1.2607,             0.55636,             0.53524,             0.55379,             0.28462,                   0,                   0,                   0,            0.010799,            0.010799,            0.010799
                  84,              2.2211,              1.9906,              1.2238,              0.6035,             0.51643,             0.56289,             0.28333,                   0,                   0,                   0,            0.010771,            0.010771,            0.010771
                  85,              2.2436,              1.9933,              1.2544,             0.63701,             0.49856,               0.583,              0.3135,                   0,                   0,                   0,            0.010742,            0.010742,            0.010742
                  86,               2.211,              1.9498,              1.2433,             0.64129,              0.5086,             0.57337,             0.30952,                   0,                   0,                   0,            0.010713,            0.010713,            0.010713
                  87,              2.2071,              1.9522,              1.2452,             0.64776,              0.5027,              0.5838,             0.29349,                   0,                   0,                   0,            0.010684,            0.010684,            0.010684
                  88,              2.2706,              1.9531,              1.2556,              0.6713,             0.50109,             0.59079,             0.31308,                   0,                   0,                   0,            0.010654,            0.010654,            0.010654
                  89,              2.2512,              2.0002,              1.2593,             0.60191,             0.55671,             0.59012,             0.31648,                   0,                   0,                   0,            0.010624,            0.010624,            0.010624
                  90,               2.214,              1.9341,              1.2642,             0.64783,              0.5401,             0.58939,              0.3189,                   0,                   0,                   0,            0.010594,            0.010594,            0.010594
                  91,              2.1977,              1.9306,              1.2634,             0.61645,             0.56472,             0.60965,             0.32652,                   0,                   0,                   0,            0.010564,            0.010564,            0.010564
                  92,              2.2585,              2.0143,               1.247,             0.61687,             0.51108,             0.56457,             0.29609,                   0,                   0,                   0,            0.010533,            0.010533,            0.010533
                  93,              2.1371,              1.8156,              1.2548,              0.6524,             0.55823,             0.60484,             0.31713,                   0,                   0,                   0,            0.010502,            0.010502,            0.010502
                  94,              2.1486,              1.8185,              1.2877,             0.67703,             0.55645,             0.61457,              0.3473,                   0,                   0,                   0,            0.010471,            0.010471,            0.010471
                  95,              2.1413,              1.8093,              1.2291,             0.65287,             0.52753,             0.60376,             0.29931,                   0,                   0,                   0,            0.010439,            0.010439,            0.010439
                  96,              2.1958,              1.8657,              1.2643,             0.66387,             0.51927,              0.5878,             0.31863,                   0,                   0,                   0,            0.010408,            0.010408,            0.010408
                  97,              2.1382,               1.874,              1.2608,             0.64715,             0.57833,              0.6204,             0.35368,                   0,                   0,                   0,            0.010375,            0.010375,            0.010375
                  98,              2.1546,              1.8095,              1.2573,             0.68505,             0.52851,             0.61845,             0.32881,                   0,                   0,                   0,            0.010343,            0.010343,            0.010343
                  99,              2.1221,              1.8078,              1.2161,             0.70513,             0.53485,             0.61687,             0.33915,                   0,                   0,                   0,             0.01031,             0.01031,             0.01031
                 100,              2.1953,              1.8102,              1.2403,             0.55734,             0.59591,             0.59956,             0.32103,                   0,                   0,                   0,            0.010278,            0.010278,            0.010278
                 101,              2.2542,              1.8756,              1.2418,             0.63779,             0.58767,              0.6371,             0.37198,                   0,                   0,                   0,            0.010244,            0.010244,            0.010244
                 102,              2.1002,              1.7159,              1.2339,              0.6996,             0.59325,             0.63955,             0.34818,                   0,                   0,                   0,            0.010211,            0.010211,            0.010211
                 103,              2.1536,              1.7779,              1.2241,             0.67891,             0.56708,             0.64287,             0.34445,                   0,                   0,                   0,            0.010177,            0.010177,            0.010177
                 104,              2.1808,              1.8003,              1.2419,             0.74939,             0.55434,             0.63679,             0.34799,                   0,                   0,                   0,            0.010143,            0.010143,            0.010143
                 105,              2.1735,              1.8888,               1.213,             0.63365,              0.5616,             0.63043,             0.33843,                   0,                   0,                   0,            0.010109,            0.010109,            0.010109
                 106,              2.1186,              1.7673,               1.245,             0.76546,             0.56864,              0.6338,             0.34436,                   0,                   0,                   0,            0.010075,            0.010075,            0.010075
                 107,              2.1055,              1.7152,              1.2585,             0.69312,             0.58951,             0.65548,             0.38552,                   0,                   0,                   0,             0.01004,             0.01004,             0.01004
                 108,              2.1454,              1.8069,              1.2612,             0.77955,             0.55188,             0.64835,             0.36654,                   0,                   0,                   0,            0.010005,            0.010005,            0.010005
                 109,              2.1565,              1.7122,              1.2254,             0.74508,              0.5501,             0.65363,             0.36229,                   0,                   0,                   0,           0.0099699,           0.0099699,           0.0099699
                 110,              2.1145,              1.7148,              1.2257,             0.75991,             0.58816,             0.65985,             0.35704,                   0,                   0,                   0,           0.0099345,           0.0099345,           0.0099345
                 111,               2.063,              1.6844,              1.2328,             0.72204,             0.55048,             0.64211,              0.3411,                   0,                   0,                   0,           0.0098988,           0.0098988,           0.0098988
                 112,              2.1326,              1.7252,              1.2354,             0.72602,             0.55718,             0.66316,             0.35504,                   0,                   0,                   0,           0.0098629,           0.0098629,           0.0098629
                 113,              2.0536,              1.6275,              1.2282,             0.79727,             0.53211,             0.65745,              0.3838,                   0,                   0,                   0,           0.0098267,           0.0098267,           0.0098267
