               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  69,              1.5681,              1.1837,              1.1703,             0.79826,             0.60724,             0.70748,             0.41182,                   0,                   0,                   0,          0.00085975,          0.00085975,          0.00085975
                  70,              1.5705,              1.1415,              1.1615,             0.84262,             0.58747,             0.70979,             0.38027,                   0,                   0,                   0,           0.0008442,           0.0008442,           0.0008442
                  71,              1.5791,              1.1735,              1.1533,             0.87042,             0.56746,             0.69975,             0.39139,                   0,                   0,                   0,           0.0008286,           0.0008286,           0.0008286
                  72,              1.5952,              1.1867,              1.1674,              0.8393,             0.59677,             0.71011,             0.41964,                   0,                   0,                   0,          0.00081296,          0.00081296,          0.00081296
                  73,              1.5391,              1.1283,              1.1542,             0.77845,             0.63569,             0.71218,             0.39767,                   0,                   0,                   0,           0.0007973,           0.0007973,           0.0007973
                  74,               1.577,              1.2027,               1.165,             0.82083,               0.606,             0.71262,             0.40255,                   0,                   0,                   0,          0.00078162,          0.00078162,          0.00078162
                  75,              1.6014,              1.1724,              1.1552,             0.81908,             0.60818,             0.71788,             0.38973,                   0,                   0,                   0,          0.00076593,          0.00076593,          0.00076593
                  76,              1.5584,              1.1175,              1.1447,             0.78284,             0.60571,             0.70901,             0.40339,                   0,                   0,                   0,          0.00075023,          0.00075023,          0.00075023
                  77,              1.5535,              1.1477,              1.1464,             0.79458,             0.61905,             0.71109,             0.40826,                   0,                   0,                   0,          0.00073452,          0.00073452,          0.00073452
                  78,              1.6205,              1.1725,              1.1666,             0.80526,             0.62255,             0.71284,             0.40332,                   0,                   0,                   0,          0.00071883,          0.00071883,          0.00071883
                  79,              1.5558,              1.1456,              1.1489,             0.83076,             0.60701,             0.70704,             0.38182,                   0,                   0,                   0,          0.00070315,          0.00070315,          0.00070315
                  80,              1.5325,              1.1327,              1.1324,             0.81179,             0.61812,             0.70616,             0.40727,                   0,                   0,                   0,          0.00068749,          0.00068749,          0.00068749
                  81,              1.5586,              1.1514,              1.1531,             0.80947,             0.60765,             0.70511,              0.4011,                   0,                   0,                   0,          0.00067185,          0.00067185,          0.00067185
                  82,              1.5639,              1.1733,              1.1466,             0.72427,             0.65956,             0.70731,             0.40509,                   0,                   0,                   0,          0.00065625,          0.00065625,          0.00065625
                  83,              1.5245,              1.1277,              1.1462,             0.80876,             0.62204,             0.70512,             0.37448,                   0,                   0,                   0,           0.0006407,           0.0006407,           0.0006407
                  84,              1.5314,              1.1222,              1.1573,             0.79955,             0.62136,             0.71429,             0.40728,                   0,                   0,                   0,          0.00062519,          0.00062519,          0.00062519
                  85,              1.5129,              1.0842,              1.1302,             0.82703,             0.60898,             0.70876,             0.40738,                   0,                   0,                   0,          0.00060973,          0.00060973,          0.00060973
                  86,              1.5342,              1.1358,               1.151,              0.8164,             0.61287,             0.71077,             0.40679,                   0,                   0,                   0,          0.00059434,          0.00059434,          0.00059434
                  87,              1.5026,              1.0894,              1.1616,             0.83075,             0.60053,             0.71275,             0.41052,                   0,                   0,                   0,          0.00057901,          0.00057901,          0.00057901
                  88,              1.5493,              1.1401,              1.1605,              0.8467,             0.59801,             0.71134,             0.39289,                   0,                   0,                   0,          0.00056376,          0.00056376,          0.00056376
                  89,              1.5096,              1.1095,               1.131,             0.79234,             0.62803,              0.7143,             0.42151,                   0,                   0,                   0,           0.0005486,           0.0005486,           0.0005486
                  90,              1.5391,              1.1335,              1.1639,             0.79614,              0.6219,             0.71365,             0.42109,                   0,                   0,                   0,          0.00053352,          0.00053352,          0.00053352
                  91,              1.5067,              1.0963,              1.1352,             0.80837,             0.61225,             0.71367,             0.40643,                   0,                   0,                   0,          0.00051853,          0.00051853,          0.00051853
                  92,              1.4878,              1.0817,              1.1381,             0.85145,             0.59086,             0.71817,             0.41034,                   0,                   0,                   0,          0.00050365,          0.00050365,          0.00050365
                  93,              1.5037,              1.0935,              1.1603,             0.81365,             0.61802,             0.70665,              0.3913,                   0,                   0,                   0,          0.00048887,          0.00048887,          0.00048887
                  94,              1.5285,              1.1253,              1.1441,             0.79646,             0.61716,             0.70717,             0.38571,                   0,                   0,                   0,          0.00047421,          0.00047421,          0.00047421
                  95,              1.5133,              1.1297,              1.1351,             0.82313,             0.60777,             0.71105,             0.40487,                   0,                   0,                   0,          0.00045968,          0.00045968,          0.00045968
                  96,              1.5018,              1.0995,              1.1422,             0.83876,             0.59174,             0.70712,             0.39959,                   0,                   0,                   0,          0.00044526,          0.00044526,          0.00044526
                  97,              1.5031,              1.0901,               1.133,             0.84344,             0.60353,             0.71874,             0.42096,                   0,                   0,                   0,          0.00043099,          0.00043099,          0.00043099
                  98,              1.5079,              1.1143,              1.1405,             0.82656,             0.62187,             0.71717,             0.41523,                   0,                   0,                   0,          0.00041685,          0.00041685,          0.00041685
